Mon 27 Nov 2017 17:10:32 rest_api get_users_lookup 17280 Thread-4 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:10:37 rest_api get_users_lookup 13980 Thread-3 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:10:40 rest_api get_users_lookup 10844 Thread-7 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:10:47 rest_api get_users_lookup 10876 Thread-5 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:10:58 rest_api get_users_lookup 20200 Thread-2 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:11:02 rest_api get_users_lookup 10044 Thread-6 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:11:06 rest_api get_users_lookup 15440 Thread-1 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:11:07 rest_api get_users_lookup 9092 Thread-8 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:11:13 rest_api get_users_lookup 10844 Thread-7 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:11:17 TwitterError __init__ 10044 Thread-6 [line:22] WARNING 400 statuses/filter text HTTPSConnectionPool(host='api.twitter.com', port=443): Max retries exceeded with url: /1.1/users/lookup.json (Caused by ProxyError('Cannot connect to proxy.', timeout('timed out',)))
Mon 27 Nov 2017 17:11:17 rest_api get_users_lookup 10044 Thread-6 [line:120] ERROR HTTPSConnectionPool(host='api.twitter.com', port=443): Max retries exceeded with url: /1.1/users/lookup.json (Caused by ProxyError('Cannot connect to proxy.', timeout('timed out',)))
Mon 27 Nov 2017 17:11:20 rest_api get_users_lookup 17280 Thread-4 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:11:23 rest_api get_users_lookup 13980 Thread-3 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:11:30 rest_api get_users_lookup 10876 Thread-5 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:11:33 rest_api get_users_lookup 20200 Thread-2 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:11:42 rest_api get_users_lookup 9092 Thread-8 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:11:47 rest_api get_users_lookup 17280 Thread-4 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:11:50 rest_api get_users_lookup 10844 Thread-7 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:11:55 rest_api get_users_lookup 13980 Thread-3 [line:140] INFO users: 100, success: 99
Mon 27 Nov 2017 17:11:55 rest_api get_users_lookup 13980 Thread-3 [line:142] INFO failed id: [222957583]
Mon 27 Nov 2017 17:11:56 rest_api get_users_lookup 20200 Thread-2 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:11:56 rest_api get_users_lookup 15440 Thread-1 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:12:04 rest_api get_users_lookup 10876 Thread-5 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:12:04 rest_api get_users_lookup 10044 Thread-6 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:12:13 rest_api get_users_lookup 9092 Thread-8 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:12:22 rest_api get_users_lookup 17280 Thread-4 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:12:22 rest_api get_users_lookup 10844 Thread-7 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:12:26 rest_api get_users_lookup 15440 Thread-1 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:12:31 rest_api get_users_lookup 13980 Thread-3 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:12:36 rest_api get_users_lookup 20200 Thread-2 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:12:36 rest_api get_users_lookup 10044 Thread-6 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:12:36 rest_api get_users_lookup 10876 Thread-5 [line:140] INFO users: 100, success: 100
Mon 27 Nov 2017 17:12:38 rest_api get_users_lookup 9092 Thread-8 [line:140] INFO users: 100, success: 100
